Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas,bow_aberta,bow_ad,bow_adidas,bow_adistar,bow_adorno,bow_agulha,bow_aju,bow_ajuste,bow_al,bow_alca,bow_all,bow_along,bow_alpargata,bow_alta,bow_alto,bow_am,bow_amar,bow_amarelo,bow_amarracao,bow_an,bow_anab,bow_anabel,bow_anabela,bow_anacapri,bow_ani,bow_animal,bow_apli,bow_aplicac,bow_aplicaca,bow_aplicacao,bow_aplicaco,bow_aplique,bow_apliques,bow_areia,bow_arezzo,bow_arred,bow_arredond,bow_arredondada,bow_arredondado,bow_asics,bow_authentic,bow_azul,bow_ba,bow_baix,bow_baixa,bow_baixo,bow_balance,bow_ballet,bow_barcelos,bow_beach,bow_bebece,bow_becece,bow_beece,bow_bege,bow_beira,bow_bepece,bow_bi,bow_bic,bow_bico,bow_bicolo,bow_biker,bow_bisch,bow_bischoff,bow_bl,bow_blo,bow_bloc,bow_bloco,bow_bo,bow_bolsa,bow_boneca,bow_bordo,bow_bota,bow_bottero,bow_br,bow_branca,bow_branco,bow_brazil,bow_bridao,bow_brilhan,bow_brilhante,bow_brilhantes,bow_brilhosas,bow_bronze,bow_ca,bow_cabedal,bow_cada,bow_cadarco,bow_cafe,bow_caixa,bow_camu,bow_camurca,bow_can,bow_cano,bow_capodarte,bow_caramel,bow_caramelo,bow_casual,bow_chelsea,bow_chinelo,bow_chuck,bow_chunky,bow_cinza,bow_claro,bow_classic,bow_classico,bow_clog,bow_co,bow_coca,bow_coentruda,bow_cola,bow_colcci,bow_color,bow_comfortflex,bow_cont,bow_contrasta,bow_control,bow_converse,bow_cor,bow_corrente,bow_cos,bow_coturno,bow_cou,bow_couro,bow_croc,bow_croco,bow_cruzadas,bow_curto,bow_cut,bow_dad,bow_dakota,bow_decon,bow_decora,bow_decorativa,bow_dedo,bow_delicado,bow_design,bow_det,bow_deta,bow_detalh,bow_detalhe,bow_detalhes,bow_doura,bow_dourad,bow_dourada,bow_dourado,bow_drapeada,bow_drifter,bow_duas,bow_elastico,bow_entr,bow_entrela,bow_entrelac,bow_entrelacada,bow_entrelacadas,bow_env,bow_es,bow_escuro,bow_esfe,bow_esferas,bow_espadrille,bow_estampa,bow_excite,bow_exp,bow_faixa,bow_farm,bow_fechada,bow_fechado,bow_fem,bow_feminina,bow_feminino,bow_fi,bow_fila,bow_filmore,bow_fin,bow_fina,bow_finas,bow_fino,bow_fisherman,bow_fiv,bow_five,bow_fivel,bow_fivela,bow_fivelas,bow_flare,bow_flat,bow_flatform,bow_floral,bow_flores,bow_foafer,bow_foam,bow_forum,bow_franjas,bow_free,bow_frontal,bow_fx,bow_garrafa,bow_gazelle,bow_ge,bow_gel,bow_geometrico,bow_ghostride,bow_grafite,bow_grosso,bow_handball,bow_hotfix,bow_ii,bow_ilhos,bow_in,bow_incolor,bow_infinion,bow_japan,bow_jeans,bow_jorge,bow_kit,bow_knee,bow_knit,bow_knu,bow_kolosh,bow_lace,bow_laco,bow_lanca,bow_laranja,bow_larga,bow_largas,bow_laser,bow_lateral,bow_lezard,bow_lightbl,bow_lisa,bow_liso,bow_listrado,bow_listras,bow_lite,bow_loafer,bow_logo,bow_lolla,bow_lona,bow_long,bow_loucos,bow_lover,bow_low,bow_lt,bow_luiza,bow_made,bow_mamma,bow_manila,bow_manu,bow_mar,bow_marinho,bow_marrom,bow_marte,bow_mary,bow_masculino,bow_matela,bow_matelasse,bow_maxi,bow_med,bow_medi,bow_media,bow_medio,bow_mega,bow_melissa,bow_met,bow_meta,bow_metal,bow_metali,bow_metalico,bow_metaliz,bow_metalizada,bow_metalizadas,bow_metalizado,bow_mia,bow_mississipi,bow_mocassim,bow_modare,bow_moderno,bow_moleca,bow_monograma,bow_montaria,bow_mooncity,bow_mte,bow_mule,bow_necessaire,bow_new,bow_nimbus,bow_nobuck,bow_novablast,bow_nude,bow_nyc,bow_off,bow_og,bow_old,bow_oliva,bow_on,bow_onca,bow_originals,bow_osklen,bow_over,bow_palermo,bow_papete,bow_pedrari,bow_pedraria,bow_pedrarias,bow_pedras,bow_peludo,bow_perfume,bow_perfurado,bow_perfuros,bow_pesponto,bow_pingente,bow_plataforma,bow_platform,bow_platino,bow_platinum,bow_pont,bow_ponta,bow_ponteira,bow_possession,bow_prata,bow_prateada,bow_preta,bow_preto,bow_pretp,bow_print,bow_puma,bow_qu,bow_quad,bow_quadrada,bow_quadrado,bow_racer,bow_ramarim,bow_range,bow_rasteira,bow_rasteirinha,bow_recort,bow_recorte,bow_recortes,bow_redonda,bow_redondo,bow_retro,bow_rio,bow_rosa,bow_rose,bow_rubi,bow_runner,bow_rw,bow_sa,bow_sal,bow_salt,bow_salto,bow_samba,bow_sand,bow_sandalia,bow_santa,bow_santos,bow_sapatilha,bow_sapato,bow_scarpin,bow_sintetico,bow_skool,bow_sl,bow_slide,bow_slin,bow_slingb,bow_slingback,bow_slip,bow_slipper,bow_snake,bow_sneaker,bow_sola,bow_solado,bow_speed,bow_speedcat,bow_speedzone,bow_spezial,bow_spikes,bow_sportswear,bow_star,bow_strass,bow_striker,bow_suede,bow_sun,bow_superiores,bow_superstar,bow_ta,bow_tac,bow_taca,bow_tachas,bow_taekwond,bow_taekwondo,bow_tamanco,bow_taylor,bow_tenis,bow_tex,bow_text,bow_textil,bow_textu,bow_textur,bow_textura,bow_texturi,bow_texturizada,bow_texturizado,bow_the,bow_thong,bow_ti,bow_tir,bow_tira,bow_tiras,bow_toalha,bow_toffee,bow_tokyo,bow_tr,bow_tra,bow_trama,bow_tramada,bow_tramadas,bow_tran,bow_tranca,bow_trancad,bow_trancada,bow_trancado,bow_transpasse,bow_traseiro,bow_tratorada,bow_tratorado,bow_tresse,bow_tropical,bow_true,bow_ua,bow_ultrarange,bow_unissex,bow_uno,bow_urban,bow_urbano,bow_usaflex,bow_vaca,bow_vans,bow_vaz,bow_vazado,bow_velcro,bow_verde,bow_vermelha,bow_vermelho,bow_vern,bow_verniz,bow_via,bow_vicenza,bow_vinho,bow_vintage,bow_vizzano,bow_warm,bow_wh,bow_white,bow_wm,bow_xl,bow_ziper,palavras_unicas
Vizzano,Bege,Dafiti,Sandália Vizzano Aplicação Bege,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 104,99","R$ 111,69",1x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
Vizzano,Marrom,Dafiti,Tênis Feminino Modare Chunky Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 209,99","R$ 149,99","R$ 159,56",2x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Modare,Preto,Dafiti,Sapatilha Feminina Modare Detalhe Metálico Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 129,90","R$ 104,99","R$ 111,69",1x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Comfortflex,Marrom,Dafiti,Bota Feminina Comfortflex Cano Baixo Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 209,99","R$ 139,99","R$ 148,93",2x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Vizzano,Branco,Dafiti,Scarpin Vizzano Bico Fino Branco,"Calçados,Calçados Femininos,Scarpin","R$ 149,90","R$ 99,99","R$ 106,37",1x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
Vizzano,Preto,Dafiti,Scarpin Vizzano Médio Preto,"Calçados,Calçados Femininos,Scarpin","R$ 139,99","R$ 114,99","R$ 122,33",2x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
Santa Lolla,Preto,Dafiti,Sandália Santa Lolla Em Nó Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 269,90","R$ 219,99","R$ 234,03",3x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Jorge Bischoff,Azul,Dafiti,Scarpin Jorge Bischoff de Couro Azul,"Calçados,Calçados Femininos,Sapatos,Scarpins,Scarpin","R$ 369,00","R$ 219,99","R$ 234,03",3x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
VIA UNO,Marrom,Dafiti,Bota Feminina VIA UNO Cano Baixo Animal ...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 179,99","R$ 134,99","R$ 143,61",2x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
VIA UNO,Marrom,Dafiti,Mocassim VIA UNO Suede Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 139,99","R$ 124,99","R$ 132,97",2x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
